U	I
-1.62000000000008	-0.000216
-1.61000000000008	-0.000216
-1.60000000000008	-0.000216
-1.59000000000008	-0.000216
-1.58000000000008	-0.000216
-1.57000000000008	-0.000216
-1.56000000000008	-0.000216
-1.55000000000008	-0.000216
-1.54000000000008	-0.000216
-1.53000000000008	-0.000216
-1.52000000000008	-0.000215
-1.51000000000008	-0.000216
-1.50000000000008	-0.000216
-1.49000000000008	-0.000216
-1.48000000000008	-0.000216
-1.47000000000008	-0.000216
-1.46000000000008	-0.000215
-1.45000000000008	-0.000216
-1.44000000000008	-0.000216
-1.43000000000008	-0.000215
-1.42000000000008	-0.000215
-1.41000000000008	-0.000215
-1.40000000000008	-0.000216
-1.39000000000008	-0.000215
-1.38000000000008	-0.000215
-1.37000000000008	-0.000215
-1.36000000000008	-0.000215
-1.35000000000008	-0.000215
-1.34000000000008	-0.000215
-1.33000000000008	-0.000215
-1.32000000000008	-0.000215
-1.31000000000008	-0.000215
-1.30000000000008	-0.000215
-1.29000000000008	-0.000215
-1.28000000000008	-0.000215
-1.27000000000008	-0.000215
-1.26000000000008	-0.000215
-1.25000000000008	-0.000215
-1.24000000000008	-0.000215
-1.23000000000008	-0.000215
-1.22000000000008	-0.000215
-1.21000000000008	-0.000215
-1.20000000000008	-0.000215
-1.19000000000008	-0.000215
-1.18000000000008	-0.000215
-1.17000000000008	-0.000215
-1.16000000000008	-0.000215
-1.15000000000008	-0.000215
-1.14000000000008	-0.000215
-1.13000000000008	-0.000215
-1.12000000000008	-0.000215
-1.11000000000008	-0.000215
-1.10000000000008	-0.000215
-1.09000000000008	-0.000215
-1.08000000000008	-0.000215
-1.07000000000008	-0.000215
-1.06000000000008	-0.000215
-1.05000000000008	-0.000215
-1.04000000000008	-0.000215
-1.03000000000008	-0.000215
-1.02000000000008	-0.000215
-1.01000000000008	-0.000215
-1.00000000000008	-0.000215
-0.990000000000084	-0.000215
-0.980000000000084	-0.000215
-0.970000000000084	-0.000215
-0.960000000000084	-0.000215
-0.950000000000084	-0.000215
-0.940000000000084	-0.000215
-0.930000000000084	-0.000215
-0.920000000000084	-0.000215
-0.910000000000084	-0.000215
-0.900000000000084	-0.000215
-0.890000000000084	-0.000215
-0.880000000000084	-0.000215
-0.870000000000084	-0.000215
-0.860000000000084	-0.000215
-0.850000000000084	-0.000215
-0.840000000000084	-0.000215
-0.830000000000084	-0.000215
-0.820000000000084	-0.000215
-0.810000000000084	-0.000215
-0.800000000000084	-0.000215
-0.790000000000084	-0.000215
-0.780000000000084	-0.000215
-0.770000000000084	-0.000215
-0.760000000000084	-0.000215
-0.750000000000084	-0.000215
-0.740000000000084	-0.000215
-0.730000000000084	-0.000215
-0.720000000000084	-0.000215
-0.710000000000084	-0.000215
-0.700000000000084	-0.000215
-0.690000000000084	-0.000215
-0.680000000000084	-0.000215
-0.670000000000084	-0.000215
-0.660000000000084	-0.000215
-0.650000000000084	-0.000215
-0.640000000000084	-0.000215
