U	I
-3.01000000000006	-1.2e-06
-3.00000000000006	-1.21e-06
-2.99000000000006	-1.2e-06
-2.98000000000006	-1.2e-06
-2.97000000000006	-1.2e-06
-2.96000000000006	-1.2e-06
-2.95000000000007	-1.2e-06
-2.94000000000007	-1.2e-06
-2.93000000000007	-1.2e-06
-2.92000000000007	-1.19e-06
-2.91000000000007	-1.2e-06
-2.90000000000007	-1.19e-06
-2.89000000000007	-1.19e-06
-2.88000000000007	-1.19e-06
-2.87000000000007	-1.19e-06
-2.86000000000007	-1.19e-06
-2.85000000000007	-1.19e-06
-2.84000000000007	-1.18e-06
-2.83000000000007	-1.18e-06
-2.82000000000007	-1.18e-06
-2.81000000000007	-1.18e-06
-2.80000000000007	-1.18e-06
-2.79000000000007	-1.18e-06
-2.78000000000007	-1.18e-06
-2.77000000000007	-1.18e-06
-2.76000000000007	-1.17e-06
-2.75000000000007	-1.17e-06
-2.74000000000007	-1.17e-06
-2.73000000000007	-1.17e-06
-2.72000000000007	-1.17e-06
-2.71000000000007	-1.17e-06
-2.70000000000007	-1.17e-06
-2.69000000000007	-1.16e-06
-2.68000000000007	-1.16e-06
-2.67000000000007	-1.16e-06
-2.66000000000007	-1.16e-06
-2.65000000000007	-1.16e-06
-2.64000000000007	-1.16e-06
-2.63000000000007	-1.16e-06
-2.62000000000007	-1.16e-06
-2.61000000000007	-1.15e-06
-2.60000000000007	-1.15e-06
-2.59000000000007	-1.15e-06
-2.58000000000007	-1.15e-06
-2.57000000000007	-1.15e-06
-2.56000000000007	-1.15e-06
-2.55000000000007	-1.15e-06
-2.54000000000007	-1.15e-06
-2.53000000000007	-1.14e-06
-2.52000000000007	-1.14e-06
-2.51000000000007	-1.14e-06
-2.50000000000007	-1.14e-06
-2.49000000000007	-1.14e-06
-2.48000000000008	-1.14e-06
-2.47000000000008	-1.14e-06
-2.46000000000008	-1.13e-06
-2.45000000000008	-1.14e-06
-2.44000000000008	-1.13e-06
-2.43000000000008	-1.13e-06
-2.42000000000008	-1.13e-06
-2.41000000000008	-1.13e-06
-2.40000000000008	-1.13e-06
-2.39000000000008	-1.13e-06
-2.38000000000008	-1.13e-06
-2.37000000000008	-1.13e-06
-2.36000000000008	-1.13e-06
-2.35000000000008	-1.12e-06
-2.34000000000008	-1.12e-06
-2.33000000000008	-1.12e-06
-2.32000000000008	-1.12e-06
-2.31000000000008	-1.12e-06
-2.30000000000008	-1.12e-06
-2.29000000000008	-1.11e-06
-2.28000000000008	-1.11e-06
-2.27000000000008	-1.11e-06
-2.26000000000008	-1.11e-06
-2.25000000000008	-1.11e-06
-2.24000000000008	-1.11e-06
-2.23000000000008	-1.11e-06
-2.22000000000008	-1.11e-06
-2.21000000000008	-1.1e-06
-2.20000000000008	-1.1e-06
-2.19000000000008	-1.1e-06
-2.18000000000008	-1.1e-06
-2.17000000000008	-1.1e-06
-2.16000000000008	-1.1e-06
-2.15000000000008	-1.1e-06
-2.14000000000008	-1.1e-06
-2.13000000000008	-1.1e-06
-2.12000000000008	-1.09e-06
